Ticker,Date,Open,High,Low,Close,Volume,Chatter,AnalystRating,AnalystCount,PriceTarget
ACAD,"Sep 2, 2026",29.1,29.75,28.88,28.93,1555768,normal,Buy,21,34.0
ACAD,"Sep 1, 2026",28.84,29.3,28.51,28.89,830081,normal,Buy,21,34.0
ACAD,"Aug 31, 2026",29.05,29.12,28.58,28.91,990757,normal,Buy,21,34.0
ACAD,"Aug 28, 2026",29.51,29.73,29.02,29.11,1529974,normal,Buy,21,34.0
ACAD,"Aug 27, 2026",29.26,29.83,29.15,29.73,879365,normal,Buy,21,34.0
ACAD,"Aug 26, 2026",30.36,30.38,29.28,29.58,1336189,normal,Buy,21,34.0
ACAD,"Aug 25, 2026",30.14,30.76,29.85,30.57,1523784,normal,Buy,21,34.0
ACAD,"Aug 24, 2026",29.5,29.78,29.15,29.65,1489609,normal,Buy,21,34.0
ACAD,"Aug 21, 2026",29.08,29.62,28.8,29.5,1093516,normal,Buy,21,34.0
ACAD,"Aug 20, 2026",30.0,30.0,28.95,29.04,1318712,normal,Buy,21,34.0
ACAD,"Aug 19, 2026",30.66,30.96,30.07,30.21,2288067,normal,Buy,21,34.0
ACAD,"Aug 18, 2026",29.14,30.25,29.05,30.18,2053504,normal,Buy,21,34.0
ACAD,"Aug 17, 2026",28.63,29.03,28.21,29.01,1122499,normal,Buy,21,34.0
ACAD,"Aug 14, 2026",28.26,28.43,27.9,28.24,1062578,normal,Buy,21,34.0
ACAD,"Aug 13, 2026",29.75,29.75,28.36,28.38,1507221,normal,Buy,21,34.0
ACAD,"Aug 12, 2026",29.18,29.85,28.83,29.45,1409739,normal,Buy,21,34.0
ACAD,"Aug 11, 2026",29.57,29.76,29.1,29.41,1346523,normal,Buy,21,34.0
ACAD,"Aug 10, 2026",29.0,29.65,29.0,29.39,2726434,normal,Buy,21,34.0
ACAD,"Aug 7, 2026",28.57,29.29,28.2,29.21,1782723,normal,Buy,21,34.0
ACAD,"Aug 6, 2026",28.85,29.48,28.32,28.45,3049755,normal,Buy,21,34.0
ACAD,"Aug 5, 2026",27.96,29.17,27.8,28.8,4549297,normal,Buy,21,34.0
ACAD,"Aug 4, 2026",25.66,27.23,25.55,27.15,2440393,normal,Buy,21,34.0
ACAD,"Aug 3, 2026",25.96,26.11,25.43,25.61,1368071,normal,Buy,21,34.0
ACAD,"Jul 31, 2026",26.44,26.44,25.35,25.87,1534224,normal,Buy,21,34.0
ACAD,"Jul 30, 2026",26.13,26.58,25.87,26.55,1298677,normal,Buy,21,34.0
ACAD,"Jul 29, 2026",26.12,26.54,25.82,26.34,1733147,normal,Buy,21,34.0
ACAD,"Jul 28, 2026",25.52,26.08,25.52,26.01,940899,normal,Buy,21,34.0
ACAD,"Jul 27, 2026",25.22,25.78,24.99,25.39,1399666,normal,Buy,21,34.0
ACAD,"Jul 24, 2026",24.9,25.1,24.57,24.84,1046976,normal,Buy,21,34.0
ACAD,"Jul 23, 2026",24.23,25.0,24.23,24.83,1272018,normal,Buy,21,34.0
RGTI,"Sep 2, 2026",14.82,15.05,14.6,14.87,11878469,normal,Buy,13,28.81
RGTI,"Sep 1, 2026",15.02,15.29,14.81,14.99,13041708,normal,Buy,13,28.81
RGTI,"Aug 31, 2026",15.47,15.89,15.45,15.66,9764946,normal,Buy,13,28.81
RGTI,"Aug 28, 2026",16.25,16.36,15.44,15.59,14515301,normal,Buy,13,28.81
RGTI,"Aug 27, 2026",16.29,16.68,16.01,16.44,15090361,normal,Buy,13,28.81
RGTI,"Aug 26, 2026",16.7,16.94,15.93,15.94,15019251,normal,Buy,13,28.81
RGTI,"Aug 25, 2026",16.82,17.24,16.34,16.94,13501571,normal,Buy,13,28.81
